restaurant_id,restaurant_name,city,cuisine_type,partner_type,avg_prep_time_min,is_active,avg_prep_time_est
REST12962,Flavours Of Sweets Palace,Bengaluru,Chinese,Restaurant,26-40,False,33.0
REST14069,Royal Biryani Darbar,Ahmedabad,Fast Food,Restaurant,16-25,True,20.5
REST08622,Spicy Wraps Point,Mumbai,North Indian,Restaurant,16-25,True,20.5
REST19745,Delhi Express Palace,Ahmedabad,Pizza,Cloud Kitchen,16-25,True,20.5
REST02383,Namma Mess Delight,Mumbai,Healthy,Restaurant,26-40,True,33.0
REST01307,Madras Mess Nest,Mumbai,South Indian,Restaurant,26-40,True,33.0
REST12542,Sri Darshini Hub,Bengaluru,Fast Food,Restaurant,16-25,False,20.5
REST13907,Urban Curry Bhojanalay,Delhi,Chinese,Restaurant,26-40,True,33.0
REST10267,Classic Kitchen Stop,Bengaluru,Pizza,Restaurant,16-25,True,20.5
REST02429,Urban Paratha Corner,Bengaluru,Biryani,Restaurant,>40,True,45.0
REST05434,Namma Pizza Mahal,Chennai,South Indian,Cloud Kitchen,26-40,True,33.0
REST08451,Hot & Crispy Sweets Central,Hyderabad,South Indian,Restaurant,26-40,True,33.0
REST00225,Namma Wraps Zone,Hyderabad,Desserts,Restaurant,26-40,True,33.0
REST13916,Thindi Mane House Point,Bengaluru,Biryani,Restaurant,16-25,True,20.5
REST16733,Spicy Pizza Mahal,Chennai,Pizza,Restaurant,<=15,True,15.0
REST09262,Delhi House Corner,Hyderabad,Healthy,Restaurant,<=15,True,15.0
REST19508,Delhi Curry Clouds,Pune,Healthy,Cloud Kitchen,<=15,True,15.0
REST13839,Classic Thali Central,Delhi,Fast Food,Cloud Kitchen,26-40,True,33.0
REST12102,Madras Paratha Central,Pune,Chinese,Restaurant,26-40,True,33.0
REST01441,Namma Pizza Heaven,Mumbai,North Indian,Restaurant,16-25,True,20.5
REST03046,Namma Express Palace,Pune,Pizza,Cloud Kitchen,16-25,True,20.5
REST09769,Namma Kitchen Clouds,Chennai,Biryani,Restaurant,16-25,False,20.5
REST16824,Bombay Grill Palace,Bengaluru,Biryani,Restaurant,26-40,True,33.0
REST02776,Royal Sweets Heaven,Chennai,Fast Food,Cloud Kitchen,<=15,True,15.0
REST16349,Punjabi Express Central,Kolkata,Healthy,Restaurant,16-25,True,20.5
REST08397,Hot & Crispy Curry Clouds,Chennai,Healthy,Cloud Kitchen,16-25,True,20.5
REST14036,Delhi Darshini Bhojanalay,Bengaluru,North Indian,Restaurant,>40,True,45.0
REST18854,Tandoori Wraps Delight,Kolkata,South Indian,Cloud Kitchen,<=15,True,15.0
REST00857,Flavours Of Paratha Cafe,Kolkata,Biryani,Restaurant,<=15,True,15.0
REST05538,Kolkata Kitchen Heaven,Delhi,North Indian,Restaurant,<=15,True,15.0
REST01359,Flavours Of Thali Mahal,Chennai,Chinese,Cloud Kitchen,16-25,True,20.5
REST11834,Punjabi Mess Cafe,Bengaluru,Fast Food,Cloud Kitchen,26-40,True,33.0
REST16310,Bombay Sweets Delight,Mumbai,Chinese,Restaurant,<=15,True,15.0
REST03421,Namma Pizza Central,Ahmedabad,South Indian,Restaurant,<=15,True,15.0
REST14521,Namma Delights Bhojanalay,Hyderabad,Healthy,Restaurant,>40,False,45.0
REST15674,Tandoori Tandoor Adda,Mumbai,Pizza,Restaurant,<=15,True,15.0
REST05846,Kolkata House Palace,Ahmedabad,North Indian,Restaurant,16-25,True,20.5
REST02134,Tandoori Biryani Palace,Kolkata,Fast Food,Restaurant,<=15,True,15.0
REST19821,Classic Kitchen Point,Kolkata,Fast Food,Restaurant,26-40,False,33.0
REST18077,Hot & Crispy Biryani Adda,Bengaluru,Chinese,Restaurant,16-25,True,20.5
REST05332,Punjabi Mess Clouds,Ahmedabad,North Indian,Cloud Kitchen,26-40,True,33.0
REST17055,Taste Of House Palace,Pune,Fast Food,Restaurant,>40,False,45.0
REST19428,Grand Paratha Central,Bengaluru,South Indian,Restaurant,26-40,True,33.0
REST00617,Kolkata Delights Corner,Delhi,Pizza,Restaurant,>40,False,45.0
REST11164,Grand Delights Zone,Kolkata,North Indian,Restaurant,26-40,True,33.0
REST11743,Namma Pizza Darbar,Delhi,Fast Food,Cloud Kitchen,>40,False,45.0
REST02780,Sri House Hub,Chennai,South Indian,Restaurant,26-40,True,33.0
